title,number,score,text
인턴,17582665,10,올만에 힐링… 잔잔하고 재밌어요
사랑과 어둠의 이야기,17582664,8,나탈리가 너무 안타깝다.
어른들은 몰라요,17582663,2,"하니도 이유미도 왜 이런걸 찍었는지.이건 스토리도 작품성도 그냥 쓰레기.두배우 모두 인생에서 이런감독 만나지 말길.소속사도 떠나야겄네.이런거에 출연시킨.별 1개도 아깝지만,이유없이 가학만 당한 배우들이 불쌍해서 줌."
아이윌 송,17582662,10,"임신중이었는데, 태교에 넘 좋았던 순수 그 자체였던 힐링영화였어요?"
제8일의 밤,17582661,2,소재는 진짜 참신 연출이 아쉽
존 큐,17582660,10,
맨 인 더 다크,17582659,9,오락스릴러가 이정도면 절하고 보겠습니다.
미드나이트,17582658,4,
그랜드파더,17582657,10,박근형선생님 연기력이 너무 좋았습니다
체르노빌 1986,17582656,10,실화를 바탕이라 더 감동적으로 다가오는 영화네요
죽지않는 인간들의 밤,17582655,10,간만에 웃음..시간죽이기 최고.
퍼스트 어벤져,17582654,8,"마블시리즈를 위해서 급조한 느낌은 있지만, 캡틴아메리카가 어떤 인물인지에 대한 설명은 충분했다. 조금 더 여유를 가지고 만들었다면 캡틴아메리카3부작은 최고의 히어로물이 되었을 것 이라고 감히 말해봄."
오만과 편견,17582653,10,진짜 다 좋은데 한가지 흠이 있다면 뒷이야기가 별로 없다는거…?
슈퍼스타 감사용,17582652,10,무명선수의 이야기를 이렇게 감동적인 드라마로 잘 풀어낼수있다는 좋은 영화
택시운전사,17582651,10,전xx 가만히두는 이 나라는 참..
아미 오브 더 데드,17582650,1,중간에 좀비 죽이는데 로봇이었음. 근데 떡밥 안풀리고 핵 터트림.
발신제한,17582649,10,조우진님 짱 입니다요~~지창욱~~너무 조금 나와 아쉽긴 했지만역시~~굿굿♡꼭!!보세요 너무 잼있어요대박나길~발신제한♡
어른들은 몰라요,17582648,10,와.. 여주들 연기 굿하니인줄도 모르고 닮았다며 봤는데연기넘잘해용
콰이어트 플레이스 2,17582647,10,최고의 후속편 겸 중간다리
맨 인 블랙,17582646,8,이 영화의 찐 주인공은 바퀴벌레 외계인 역을 연기한 배우다.
미드나이트,17582645,6,더 콰이어트 플레이스에서 영감 받은 듯한 느낌이 강했어요...하지만 그와 반대로 너무 답답한 스토리 전개... 보는 내내 너무 답답했음  찐 고구마 영화. 그리고 마지막 너 같은 새끼는 ㅗ가 최고야
체르노빌 1986,17582644,9,좋은 러시아 영화들 많이 나오는 듯
거북이 달린다,17582642,7,좀 더 가벼운 버전의 추격자.
체르노빌 1986,17582641,10,영상도 음악도 굿
심연,17582640,9,바다 500미터 아래서 맨몸으로 수영... 해서 좀 그랬는데 판타지로 끝나서 다행입니다 :) 판타지라면 얼마든지 가능하죠~!!
미드나이트,17582639,4,"스릴을 경감케 하는 몇가지1. 경찰이 사태의 심각성을 알았는데도활동이 없었던 이유를 설명 안함2. 범인과 격투하다 범인 기절 시켰다고,바로 여자에게 가서 괜찮냐고 말하다 역공당하는 치밀치 못한 설정3. 여자가 칼을 들고 있다고 범인이 오빠라는 말에 군인들이 피신한 여자를 납치하다시피 하여 범인한테 인계하고 칼까지 돌려준 어쳐구니 없는 설정..."
반도,17582638,8,평점이너무낮아서 별기대없이 살짝 뇌비우고봐서 그런가 ㅋ ㅋ생각보다 잼나는데 ㅋ ㅋ 꼬맹이운전실력이 후덜덜 ㅋ ㅋ
트웬티 해커,17582637,2,감독이 20살인가... 뭐이리 조악해...그냥 좋은 어디 영상고등학교에서카메라좋은걸로 만든 영화같음...
체르노빌 1986,17582636,10,후반부가 대박 80년대 러시아를 보는 재미도 쏠쏠
어른들은 몰라요,17582635,7,박화영이 워낙 리얼하고 우리사회 어두운울림이 있어 다음 작품은 어떨지 요즘 아이들과 어른들 얘기를 제목부터 기대했다. 과도하게 욕이 나오는 부분과 전체 구성이 매끄럽진 않다. 그래도 학교나 교사 사회가 아이들을 보호하기보단 착취하는 내용을담고자한 작가 시선은 높이 산다
제8일의 밤,17582634,4,"아줌마무당 피부좀 리얼하게 표현하지,피도 너무 물감티나고 연출이 많이 아쉽네요"
미나리,17582633,7,미나리농사로 아메리칸드림에 성공하는 스토리를 기다렸지만 현실은 그렇지가 않아서 쓰리고 처절했다ㅠ
콰이어트 플레이스 2,17582632,7,"뭔가 그렇게 개운하게 끝나지도 않고, 엄청 스펙타클 하지도 않고.. 킬링타임용 정도."
업,17582631,10,말이 필요할까.
체르노빌 1986,17582630,10,볼거리가 많아서 좋았어요 오랜만에 재난 영화 잘봤습니다
세자매,17582629,10,
체르노빌 1986,17582628,10,실감나는 재난 영화;; 기대 안했는데 존잼
미드나이트,17582627,1,보지마세요 제발 부탁드려요. 그래도 연기는 일품이었어요.
빽 투 더 퓨쳐,17582626,8,이시대에 이런 디테일한 설정이라니
메기,17582625,1,",...,....,..."
킬러의 보디가드 2,17582624,8,소니아 아줌마 분량 늘린게 신의 한수ㅋㅋ
제8일의 밤,17582623,10,많은 생각을 가지게 하는 영화오랫만에 너무 뜻깊게 봤습니다
킬러의 보디가드,17582622,8,오랫만에 코미디액션 제대로 재밌게 봄ㅋㅋ  코미디는 아직 한물가지 않았다! 제대로 못만들었을뿐ㅋㅋ
게드전기 - 어스시의 전설,17582621,8,개연성 정말 없긴 한데 ㅋㅋㅋ그것만 빼면 되게 재밌었다. ost도 좋고 영상미도 좋고 보면서 뭔가 조금씩 반지의제왕 생각도 났다. 나는 좋았다!! 다시 보고싶은 영화이다.
목격자,17582620,10,"음 솔직히 내가20대에 이영화를 봤더라면 답답 노잼이라고 생각했을지도,, 30대후반되고 결혼도 하니까 배우들 연기가 너무 와닿는다.."
미드나이트,17582619,2,개연성쓰레기 고구마1000개 보다가 20분남기고 뛰처나옴발암
바람의 검심 : 교토 대화재편,17582618,10,OMG
식스틴 블럭,17582617,10,RIP 리처드 도너...
바람의 검심,17582616,10,OMG
바람의 검심 : 전설의 최후편,17582615,10,OMG
제8일의 밤,17582614,2,"대구는 악이 시작된 곳, 광주는 악을 물리치는 곳???? 영화 시작되고 설정이 이 이 꼬라지일 때부터 알아봤다. 반전은 커녕 지루하기만 한 1차원적 연출."
골!,17582613,7,축구를 좋아하는 팬들을 위한 서비스.
그것,17582612,7,"어린 아이들이 공포영화 주연으로 이끌어간다는 점이 신선했고, 과격하지만 성장하는 과정을 잘 그려냈다."
또 하나의 약속,17582611,10,
애꾸눈 잭,17582610,10,거짓말을 하는 주인공 그런 주인공을 사랑한 여주인공   그리고 선악의 모호함이 영화를 어느정도 설득력있게 해주었네요
허삼관,17582609,3,이게 뭐야. 실망이크다
어른들은 몰라요,17582608,4,박화영 다운그레이드버전
좋아해줘,17582607,8,특출난 반전이 있지는 않지만 보고나면 기분 좋아지는 영화
우아한 거짓말,17582606,2,김희애가 이렇게 연기못하는지 첨알았네..
진바오의 모험,17582605,1,근데 이게 짝퉁이어봤쟈 어벤져스 오브 저스티스는 못 이기지
체르노빌 1986,17582604,10,재밌어요. 주말에 친구랑 다시 보기로 했어요. 추천추천
크루엘라,17582603,10,엠마 너무 멋져요 ㅠㅠ 정말 엠마가 다 해먹는 영화
제8일의 밤,17582602,1,이걸 영화라고 만들다니. 이렇게 시간이 안가는 영화는 처음 본다.
인턴,17582601,10,왠지 모르게 눈물이 나는 영화
우리는 매일매일,17582600,1,",."
발신제한,17582599,7,연기력은 조우진님 정말 최고!
발신제한,17582598,2,억지 감동  초반에는재미있엇는데  갈수록지루하넉요
제8일의 밤,17582597,4,기대가 크면 실망도 큰법..
콰이어트 플레이스 2,17582596,9,어느새 성장한 아이들을 보고 느껴지는 전율들
킬러의 보디가드 2,17582595,7,"서사의 개연성, 완성도 싸그리 무시하고 캐릭터만 믿고 달리는 전형적인 속편. 1편은 난잡함 속에 정리된 개그와 액션이었다면 2편은 난잡하기만 하다. 아쉽기만 할따름"
제8일의 밤,17582594,4,2편 만들 생각하지마요
나루토 - 대흥분! 초승달 섬의 애니멀 소동,17582593,10,이 영화 진짜 너무 재밌게 잘봤음ㅋㅋㅋ 근데 이번편은 카카시 너무 ㅈ밥으로 만들어놓은거아니냐ㅋㅋㅋ
제8일의 밤,17582592,10,재밌게 잘 봤습니다. 불교도 퇴마 스토리 연출이 가능하다는 것에 놀랐습니다.
제8일의 밤,17582591,10,괜찮아요 볼만해요추천합니다
발신제한,17582590,8,재밌어요 연기들 잘하네요
빛나는 순간,17582589,10,우리의 빛나는 순간은 기다립니다.
크루엘라,17582588,10,꼭 봐야하는 영화
코코,17582587,10,처음부터 끝까지 모든게 완벽했다
좀비크러쉬: 헤이리,17582586,4,좋은배우들 데리고 이런 영화를 .... 세명의 배우들이 아깝다 속상하다 정말
크루엘라,17582585,10,너무 좋아요 진짜 최고예요
존 윅 3: 파라벨룸,17582584,1,"1,2편 보고 기대했는데 너무 지루했음"
프리다의 그해 여름,17582583,10,"'Home sweet home'너무 어려웠던 프리다, 가엾어서 눈물한바가지ㅠㅠ"
어른들은 몰라요,17582582,1,"이게뭐지,,하니연기가아깝다,,"
제8일의 밤,17582581,4,어설프다..어색하다..유치하다..
제8일의 밤,17582580,4,"공포영화 진짜 못보는데, 밥먹고 운동하면서 봄"
조커,17582579,10,조커를 보며 카타르시스를 느낀 순간이었다
도어락,17582578,1,나만  재미없수?  이런게 영화라니
제8일의 밤,17582577,8,저는 재밌게 봤는데 평점이 안좋네요..호불호가 갈리는 영화인가봐요
킬러의 보디가드 2,17582576,7,즐겁고 가볍게 보기좋은 영화 대사 입담이 재밌음
미드나이트,17582575,8,골목길에서 번화가로 내려올때 많은 생각이 들었다..
세 얼간이,17582574,10,7번이상 본 인생영화 진짜 연출과 노래 연기 삼박자가 어우러지는 최고의 영화입니다.모두 알이즈웰!!
파도가 지나간 자리,17582573,10,여운이 오래가요 감동입니다
크루엘라,17582572,8,연기가 대박입니다 정말... 아무래도 각색되어서 새롭게 만든 이야기이기 때문에 원작 101마리 달마시안과 완전하게 이어지지는 않지만 크루엘라 자체로도 매력있는 영화였어요!
어른들은 몰라요,17582570,2,"영화 제목 바꿔야할듯...관객들은 몰라요. 연출,전개 다 부자연스럽고, 공감이 안되네요."
미드나이트,17582569,1,그냥 보지말라면 보지마
발신제한,17582568,6,기대는 하지 마시오 6천원정도 하는 영화 가볍게 보삼
내 여자친구의 결혼식,17582567,10,왜 이제 봤는지 ㅎㅎ 재밌고 공감도 가요 ~
킬러의 보디가드 2,17582566,8,1보다 더 한 미친 사람들의 향연. B급 영화 액션으로 손색없음
콰이어트 플레이스 2,17582565,10,무조건 영화관에서 보셈
미나리,17582564,1,대체 무슨 의미를 전달하려는지 모르겠음
체르노빌 1986,17582563,9,폭발 장면 진짜 대애박..
제8일의 밤,17582562,1,총체적 난국 연기는볼만함
체르노빌 1986,17582561,10,주연배우가 감독이던데 넘 멋있고 대단..bb
러브 오브 시베리아,17582560,10,추천 해줘서 봤는데 진짜 인생영화가 되어버린 영화. 여운도 장난 아니고 톨스토이의 마지막 눈빛을 못 잊어버리겠다.
크루엘라,17582559,10,????????????
체르노빌 1986,17582558,10,무섭지만 재미있게 잘보았습니다
미드나이트,17582557,2,무능한 경찰....이 주제인가..ㅡㅡ
낙원의 밤,17582556,4,에이.. 기타노 타케시 영화 너무 따라했다..
킬러의 보디가드 2,17582555,10,유쾌상쾌통쾌 그런 영화
남자사용설명서,17582554,7,약간 병맛스럽지만 이런류의 영화 좋음 ㅎ이시영의 매력발산 영화
거북이 달린다,17582553,10,후반부에 둘이 대짜로 누워 자는거 왤케 귀엽나 ㅋㅋ  그리고 딸랑구 충청도 아가인가요? 말 너무 찰지게하네 ㅎㅎ
제8일의 밤,17582552,5,나름 신선하다 볼만은 함
워크래프트: 전쟁의 서막,17582551,9,처음 볼때는 몰랐는데 지금보니싸 안두인이 라그나 로스브로크네
론 서바이버,17582550,2,진짜 이게 재밌다고? 인간인 3명 보낼때부터 영화는 끝났어. 1990년대 영화
발신제한,17582549,6,경찰은 바보고 조우진 연기가 아까운 영화
체르노빌 1986,17582548,10,신파없이 감동을 주는 재난 영화라 더 좋았습니다
발신제한,17582547,10,진짜 기대한만큼의 재미는 없었어요. 예고편이 다 한 듯. 그냥 계속 폭탄안터지게하려고 술래잡기로 끝나는 영화라고나할까? 참고로 보다 나왔네요... 어쩌다 터진 상사의 차 폭탄...  씨쥐  진짜 정말 너무 티나 그래서 별로. 생동감안나 모가지하나 날라는 가줘야 스릴러라고할수있지
체르노빌 1986,17582546,10,오랜만에 액션 스릴러 재밌게 봤음 실화라 그런지 여운도 남음
재심,17582545,10,이런 영화 제작해주셔서 감사합니다 부조리 부도덕 대한민국의 부정부패가 척결될수 있기를...억울한 사람이 없기를..
미드나이트,17582544,10,청각장애를 가지고 있거나 그 가족분들이라면 충분히 공감할 만한 상황들입니다
제8일의 밤,17582543,10,"유정이 잘크고, 죄가 아니잖아도 나와서 좋고,성민님도 나오고, 엄마랑봄"
함정,17582542,2,마동석이 인간같지 않고 무서운 영화다. 감동제로!
제8일의 밤,17582541,2,고개 꺾고 웃으면 무섭나
말레나,17582540,10,영화에서 오해와 거짓 소문으로 난처해진 그녀를 변호하던 탐욕스러운 마마보이 변호사가 말한 거 처럼 단지 너무 아름다운 게 죄라면 죄일까.. 지나치게 아름다워도 삶이 이렇게 고달플 수가 있구나.. 말레나를 연기한 모니카 벨루치의 고혹적이고 눈부신 미모에 같은 여자인 내가 봐도 푹 빠지고 반하겠더라.. 보는 순간 여잔데 심장 멎는 줄!
테이큰,17582539,9,"아저씨가 원빈이 다이듯, 테이큰도 니암이 다이다. 연기가 얕지도 않으면서 시원시원하고 막힘 없다. 이런 감정선을 지켜가면서 묵직하게 액션을 이끌어갈 수 있는 배우가 없다."
제8일의 밤,17582538,4,신비아파트 극장판 실사화
패스트 & 퓨리어스 2,17582537,6,영화 자막이 맘에 안듬.. 차종은 뭐요? 누구한테 입수했수..? 다 자막들이 50살 나이먹은 사람들 같음
클레멘타인,17582536,10,이영화는 크레딧엔딩 영상 끝까지 봐야하는 리얼 반전 원조 영화.
킬 빌 - 1부,17582535,9,진짜 뭐 하나 빠지지 않는 영화 특히 ost가 압권 킬빌2에서는 이런느낌을 받을수가 없어서 아쉬워
제8일의 밤,17582534,10,모처럼 수작을 보았음.스토리 구성과 배우들의 연기가 뛰어났움.통상 영화를 보다가 조는 습관이 있는데 처음부터 영화가 끝날 때까지 눈을 떼지 못했음.얼핏 결말이 얘상되는 테마였지만 뻔하지 않게 쫄깃쫄깃 풀어가는 연출이 좋았음.
루카,17582533,10,
돈,17582532,10,진짜 존나 재밌었어요 진짜 존잼
인 더 하이츠,17582531,8,스토리보다 음악과 댄스가 보고 싶어 보았는데 만족해요.. 여름과 어울리는 영화에요^^
반드시 잡는다,17582530,7,예측가능한 스토리이지만 킬링타임용으로 나쁘지 않았어요~
테이큰 3,17582529,8,니암 연기가 워낙 보장되므로 2탄 3탄 우려도 1탄 수준에서 떨어지지 않는다. 연출 상의 으잉한 부분도 니암이 다 덮는다. 다만 3탄에서 새남편 캐릭터가 좀 변해서 시리즈 연결성이 떨어진다. 냉철하고 포커페이스였거나 조금 덜떨어진 듯이 연기했더라면 차라리 나았을 건데. 3탄까지 온 김에 번외편도 만들면 너무 좋을 듯
제8일의 밤,17582528,7,"스토리의 전개에 비해넷플릭스 특유의 느린전개가 흠입니다빠른 호흡의 영화(킹덤,스위트홈 등)들 처럼필요없는 부분 빼고 연출을 했으면 몰입감이 더하지 않았을까 싶습니다김유정님의 역할도 설정이 애매하고…잘 만들수 있었을거 같은데예산문제인지 안타깝습니다"
제8일의 밤,17582527,4,소재.이성민씨.포스터? 여고생.  정말 기대하고 봤는데ㅜㅜ 넘나... 생각보다... 넷플릭스면 전세계에서 볼텐데ㅜㅜ 우짜지. 하는 걱정이되는 영화였습니다. 뭔가 많이 아쉬웠어요ㅜㅜ
체르노빌 1986,17582526,10,와 기대 안했는데 너무 너무 재미있게 봤어요
노매드랜드,17582525,7,"줄거리 자체는 너무 평이해서 별로 말할 게 없지만, 여주인공의 연기력은 오스카를 거머쥘만 했다..."
태양의 노래,17582524,10,"여자친구랑 보았다. 내용은 적고 상영은 길다고 생각했다. 하지만 배우 모두 섬세한 연기가 좋았고, 유이가 부른 'good bye days'는 나의 심금을 울렸다."
크루엘라,17582523,10,끝까지 집중해서 볼 수 있었어요 재밌어요
시카다 3301,17582522,3,묵직한 소재갖고 무슨 날틀 영화를 만들어놨네. 중간중간 얼토당토않는 개그가 영 마음에 안 든다. 재미 더럽게 없다.
미드나이트,17582521,1,"경찰,군인을 한 번에 멍청이로 만들어버리는 영화"
더 서클,17582520,10,"보면서 짱개 생각남 ㅋㅋ  코로나 방역이라는 이유로 전국민을 실시간으로 감시 중인 말로만 듣던 빅브라더, 영화처럼은 아니지만 마음만 먹으면 아무 거리낌없이 시민의 모든 사생활을 감시하여 조금이라도 중국 공산당에 위협이라도 된다면 납치해 인체신비전을 만드는 나라 짱개가 계속 생각났음"
체르노빌 1986,17582519,10,러시아영화이지만 대단합니다
발신제한,17582518,2,감독 쉐꺄  넌 다신 영화만들지마
제8일의 밤,17582517,7,솔직히 평점보가는 볼만함 연기좋고 스토리가 조금 빈약하긴 하네요
체르노빌 1986,17582516,9,방사능의 공포심을 일깨워주는 영화
날씨의 아이,17582515,10,영상미 ost 감성 지린다
어른들은 몰라요,17582514,2,세진이 여동생이 제일 불쌍함 언니밖에 없는데
킬러의 보디가드 2,17582513,9,영화관에서 오랜만에 소리내서 웃으며 본 영화
킬러의 보디가드 2,17582512,7,"형만한 아우없다는 표현에 맞지 않을까스토리보단 배우들의 연기와, 병맛같은 연출로 킬링타임하기 좋은 영화"
미드나이트,17582511,1,개 O노잼 감독님 직위박탈
제8일의 밤,17582510,6,그냥저냥 시간때우기용 인듯요...
위플래쉬,17582509,9,정말 이게 눈에 보이는 그대로의 의미도 그렇지만 아버지와 아들과의 관계를 중점적으로 다룬 의도도 포함 된다면 당연 높은 점수 받을 만하다. 뭔가 약간 PTA의 마스터가 스치기도 한다.
시카다 3301,17582508,4,"세상의 천재들을 퀴즈를 내어 모으고, 시스템의 변혁을 노린다는 설정은 흥미롭지만, 퀴즈나 풀어가는 컬트적인 요소가 죄 다 너무 억지스럽고, 맥을 뚝뚝 끊어먹어 결국 졸작이 되었다. 힘을 주어야 할 때와, 빼야할 때를 전혀 모르는 듯."
콰이어트 플레이스 2,17582507,7,"1편을 보지 않고 본 평을 하자면, 첫날이 제일 임펙트있고 재밌었다.아래부턴 스포가 포함된 개인적인 감상평입니다.1편이 끝난 시점부터 시작 되는 2편은, 초반 위기 상황에서 괴물을 상대하는법이 나옴으로서 긴장감이 많이 죽었습이다.'뭐야 생각보다 대처하기가 쉽잖아?' 이런생각이 절로 들었으니...에일리언 처럼 단점은 있으나 그 단점을 활용하기 굉장히 어렵거나 죽이기 매우 힘들고 설사 죽여도 곤혹스러운 그런 괴물이 아니다 보니 긴장감이 덜하고, 소리만 안내면 비교적 숨기 수월한 괴물 특성상쫀쫀한 공포감 조성을 위한 편집은 어디서 본듯한 느낌(대표적으로 쥬라기월드의 공룡이 바로옆까지 킁킁대면서 오는)이라 진짜 무서운 감정이 잘 안듭니다.이런 괴수 영화의 경우는 미지의 존재에게 느껴지는 불명확한 데이터로 인한 공포감이 필수인데, 1편에선 그게 충분히 느껴졌겠으나, 2편에선 이미 소리에 약하다와, 수영을 못한다(!)가 나와버리니, 쿨병이 절로 생기게 됩니다. (군대의 음향무기는 장식인가?, 수영도 못해, 물리력에 엄청난 방어력을 가진것도 아니네? 등등)덕분에 긴장감은 한없이 내려가 조금 심심하게 봤습니다.중간중간 갑자기 튀어나오는 장면은 여지없이 깜짝 놀라게 됩니다만 그것뿐이구요...총을 쓰는것도 마지막의 마지막의 최후의 수단 같은 느낌도 아니고 비교적 많이 씁니다. 개인적으로는 괴물이 죽을때 몸에서 고음의 소리가 난다던가, 뭔가 더욱 쪼이고 피해야만 하는 상황을 강제로 만들게 하는 요소가 더 있었으면 좋겠습니다.마지막으로 더이상 어리고 약한 아이들이 아닌 괴물과 싸우고 스스로를 지키는걸 넘어 다른이 조차 구하는 멋진 아이들로 성장하는 한편의 성장물로도 보여집니다.제가 단점위주로 쓰긴 했으나 영화의 전체적인 구색(편집,연출)등이 볼만하고, 공포영화로선 꽤 수작의 영화라고 생각합니다."
공공의 적,17582506,10,오랫만에 다시 보고있다연기자 모두  최고다
체르노빌 1986,17582505,9,다시는 일어나면 안되는 일ㅜㅜㅜㅜ
괴기맨숀,17582504,6,국내 공포영화 안보는데 괜찬았어요
콰이어트 플레이스 2,17582503,7,볼만은 한데 초중반 연출이 개연성이 부족함
체르노빌 1986,17582502,10,원자력 발전소에 대해 다시 한번 생각하게 하네요
다크 앤드 위키드,17582501,7,"정말 악마가 있었던 것인지, 아니면 처한 상황 속에서 일어나는 망상이 중첩되어 스스로를 옥죄어 온 것인지, 공포의 근원에 대한 묘사를 섬세하게 한 영화. 좀 더 깊숙히 들어가지 못한 아쉬움이 있지만 최근 공포영화 중 제일 낫네."
커피 오어 티,17582500,4,청춘들의 응원을 뒤로 하고 지루하다.
제8일의 밤,17582499,2,캐비어로 된장국 끓임...
시카고,17582498,10,
발신제한,17582497,10,
그녀가 사라졌다,17582496,5,소재가 가볍게만 보기에는
정직한 후보,17582495,8,국회의원 관련인데 유쾌하고 코믹하게 만들어진 영화네요! 킬링 타임용으로 좋아요
제8일의 밤,17582494,2,내용이 너무 이해도안되고 공감도 못하고 반전도 재미없어요
콰이어트 플레이스,17582493,7,조세호 닮은 발암유발 딸래미 때문에 보는데 힘들었으나 스토리가 신선해서 그나마 점수 올라감 그리고 애를 또 왜 낳냐는둥 하는데 인류멸망 분위긴데 번식은 계속 이어나가야지
엽기적인 그녀,17582492,10,인생 영화. 게다가 ost 최고. 김형석이 존나 잘 만듦..
체르노빌 1986,17582491,10,어디서나 수고하시는 소방대원분들께 감사를!!!
체르노빌 1986,17582490,8,실화라 더 몰입되고 좋았음
코치 카터,17582489,7,자기가 강해지지 않으면 상대가 강하다는 걸 몰라!
제8일의 밤,17582487,1,아직도 뭔 내용인지 모르겠음 뜬금없는 전개와 연출이 있는거같음 이게 왜 넷플3위인지 이해 안 감
체르노빌 1986,17582488,10,방사능이 무서운지는 알았지만 영화보니 더 무섭고 심각하네요 흥미있게 잘봤습니다.
콰이어트 플레이스 2,17582486,4,
딱따구리와 비,17582485,10,창작자의 고통이란..
크루엘라,17582484,10,캐릭터도 매력있었고 너무 매운맛이 아니라 애들보기도 좋았습니다~
라빠르망,17582483,8,"와우, 어쩜 모니카 벨루치는 아름답지 않은 적이 없는 거지.. 완벽하다! 영화 보는 내내 나는 그녀만 보였다!  담배 피는 모습마저도 우아하고 고급진 그녀^^ 말레나랑 함께 내 최애 영화 중 하나"
발신제한,17582482,2,이 영화 원래 2015연도에 나온 스페인영화 레트리뷰션 : 응징의 날 완전카피 복사판이네여 사람만 한국사람이지 ㅎㅎ
셔터,17582481,10,어렸을때 봤는데 개무서웠던 기억이 있네요 아직도
분노의 질주: 더 얼티메이트,17582480,3,"그만하자. 개연성 0, 공감 0, 한이 돌아오다니 이미 말 끝난거지. 조만간 겔가돗 다시 튀어나오겠네 ..  보다 존 건 처음이다. 어처구니없는 행동을 해도 (어쨌든 살겠지...) 시큰둥 하고 생각하게 되니 . 진짜 긴장감도 없고 졸리다."
미드나이트,17582479,7,"달리기 실력 보고 배우 뽑았나 보네. 근데 영화는 고구마가 여기저기 많이 심어있어서 그것때문에 너무 높은 점수는 줄 수가 없다. 전반적으로 쫄깃했는데, 답답한 게 <추격자>랑 비교할 수 없다. 1번 보기엔 재밌음."
제8일의 밤,17582478,9,재미있음꼭 한번들 보세요.
인천스텔라,17582477,2,명대사 어휴 깜박 졸았네
곤지암,17582476,10,셔터 이후로 제일 무서웠던 공포영화.... 특히 백숙귀신 ;;;그 장면이 제일ㄷㄷ
크루엘라,17582475,10,기대 이상. 또 보고싶다
더 웨이 홈,17582474,10,충성심강한 벨라.감동적인 내용이예요.우리 뚱이가 생각나네요.
크루엘라,17582473,7,
제8일의 밤,17582472,10,평점 현실화 조정이 필요...개인 호불호가 너무 극명한 영화인듯 (대부분 비호)
미드나이트,17582471,1,"사운드는 발소리만 퉁퉁퉁 너무튀고 , 누가 주연인지 조연인지 잘 모르겠고.. 경찰서 , 엘리베이터 씬은 너무 현실성 하나도없고 긴장감이 하나도 없었어요 보다가 걍 나옴"
미드나이트,17582470,5,억지로 끝까지 보느라 힘들었다. 연기력들은 다 좋았는데 현실에서 일어날 법한 얘기를 만들어야지.
클레멘타인,17582469,10,아직 안보신분 꼭 보세요 레알 띵작
모탈 컴뱃,17582468,6,기대안하고보면 볼만하다.
체르노빌 1986,17582467,10,실화여서 마음에 더 크게 와닿는...
비와 당신의 이야기,17582466,10,자극적이지 않아서 좋앗습니다 조진모감독 말처럼 갈수록 생명력을 가질 영화가 될거 같습니다 재밋게 잘봣어요
버즈 오브 프레이(할리 퀸의 황홀한 해방),17582465,6,사상주입만 안하면 볼만한 영화 사상주입이 너무 심해서 문제
이스케이프 플랜,17582464,7,내용도좋고 배우도좋고 훌륭한 액션영화
제8일의 밤,17582463,10,흥미진진진진자라지리지리자
콰이어트 플레이스 2,17582462,1,어떻게 만들면 영화가 이렇게 재미가 없을수있는걸까? 늘어진 테이프 보는것마냥 아니 1편 마지막에서는 괴물 몰려들더니 그 많던 괴물들 다 어디갔냐? 감독찬스냐? 에휴 어이가 없네
체르노빌 1986,17582461,10,걍 겁나 재밋어요 ㅜ 실제 있던 일이었어서 그런지 몰입도 잘 돼요 넘 재밌게 봤습니다
크루엘라,17582460,10,아 너무 좋다 또 봐야됩니다
발신제한,17582459,1,1. 제네시스 광고라고 느껴지는 장면이 너무 많음2. 아들 딸 연기로 눈물 쥐어짜내보려는 감성팔이 보기힘듬국산영화에 대해서 정 떨어져요
미드나이트,17582458,1,스토리 별로 너무 답답함...연기도 그냥 그랬어요...
판도라,17582457,1,이영화로인해 탈원전이되었다 미쳤다
제8일의 밤,17582456,1,최악악아가최아아으아아아아악
노아,17582455,4,노아가 무슨 생태운동가냐? 아로노프스키가 뭔가 이상해지고 있어!
해리 포터와 마법사의 돌,17582454,10,아직도 잊지 못하는 영화 …. 20년이 지나도 50년이 지나도 이런 영화는 다시는 나오지 못할만큼 너무나도 완벽했던 영화 아직도 OST만 들으면 설레고 떨린다
발신제한,17582453,10,개재밌음 진짜찐짜 감동 눈물즐줄
말레나,17582452,10,영화 안에서의 무식의 잔인한 폭력이 다시 일어나지 않으려면 우리는 끊임없이 공부해야한다. 영화를 보낸 내내 불편한 영화였다. 여성이라는 존재의 성적인 소비가 이렇게 폭력적일 수 있다니. 나의 과거를 반성하게 만든다. 우리는 이제 다른 시대에 살고 있지 않은가. 우리는 과거의 기억과 기록들이 불편하고 무엇이 잘못 되었다는것을 정확하게 인지하고 이 영화를 관람 해야한다고 생각한다.
크루엘라,17582451,4,엠마스톤인것말곤 딱히 재미도없고..
27번의 결혼 리허설,17582450,10,평점때메 별 기대없이 봤는데 존잼!!
노예 12년,17582449,1,앰흑놈들 30년은 더 해봐야됨
시티 오브 조이,17582448,10,생각없이 봤는데 좋은 영화네삼OO이된영화인데도 ....
콰이어트 플레이스 2,17582447,10,3편 무조건 보러갑니다
루카,17582446,10,와우.. 기대안하고 봤는데 최고네요.. 메세지 전달도 확실하고 한번 더 볼 의향이 있어요 ㅋㅋ
어른들은 몰라요,17582445,2,"어른들도 지겹도록 알만한 내용, 어른들도 모르는건 영화가 뭘 말하고싶은건지.."
